[1703870897.1589708, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870897.218623, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870897.2776384, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870897.3366404, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870897.3961856, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870897.4534037, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870897.5114036, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870897.5694027, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870897.6284475, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870897.685121, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870897.7436337, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870897.801636, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870897.8596368, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870897.9186356, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870897.9766335, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870898.0344644, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870898.091466, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870898.149465, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870898.2084637, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870898.2674644, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870898.3246365, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870898.3836405, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870898.4426327, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870898.5006328, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870898.5594676, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870898.6164663, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703870898.6734648, [-0.0, -0.0, -0.0, -0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
