[1703868291.7804084, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868291.8374162, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868291.896003, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868291.954009, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.0116591, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.070141, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.1301427, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.18714, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.2451746, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.3022954, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.359253, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.415886, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.4737022, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.5312672, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.587994, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.6438894, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.7013988, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.7564898, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.8124828, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.8686311, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.92421, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868292.980791, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868293.0369425, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868293.0943482, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868293.1507711, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868293.2080925, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868293.2651858, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868293.3206675, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868293.3795042, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868293.435504, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868293.491841, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868293.547034, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868293.602677, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868293.6606746, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868293.7199767, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868293.7766204, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868293.8321326, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
[1703868293.888464, [0.0, 0.0, 0.0, 0.0], [False, False, False, False, False, False, False, False, False, False, False, False], [(0, 0)], False]
